subject,labelType,horizon,weighting,regime,decile,nObs,meanRet,medianRet
trend,fwd,3,EW,SIDEWAYS,4,5572,-0.0444,-0.0562
trend,fwd,3,EW,SIDEWAYS,5,5629,0.055,0.009
trend,fwd,3,EW,SIDEWAYS,6,5747,0.1131,0.0206
trend,fwd,3,EW,SIDEWAYS,7,5606,0.0369,0.0278
trend,fwd,3,EW,SIDEWAYS,8,5654,0.1119,0.0569
trend,fwd,3,EW,SIDEWAYS,9,5721,0.1478,0.0777
trend,fwd,3,EW,SIDEWAYS,10,5465,0.0853,0.0091
trend,fwd,3,VW,SIDEWAYS,1,5796,-0.2192,0
trend,fwd,3,VW,SIDEWAYS,2,5687,0.0622,-0.0841
trend,fwd,3,VW,SIDEWAYS,3,5688,-0.1161,-0.0053
trend,fwd,3,VW,SIDEWAYS,4,5572,-0.0315,-0.0562
trend,fwd,3,VW,SIDEWAYS,5,5629,0.0039,0.009
trend,fwd,3,VW,SIDEWAYS,6,5747,0.0594,0.0206
trend,fwd,3,VW,SIDEWAYS,7,5606,0.069,0.0278
trend,fwd,3,VW,SIDEWAYS,8,5654,0.0241,0.0569
trend,fwd,3,VW,SIDEWAYS,9,5721,0.0312,0.0777
trend,fwd,3,VW,SIDEWAYS,10,5465,0.1181,0.0091
trend,fwd,5,EW,SIDEWAYS,1,5762,-0.0046,0.0078
trend,fwd,5,EW,SIDEWAYS,2,5653,0.0173,-0.0744
trend,fwd,5,EW,SIDEWAYS,3,5654,0.0565,0.1026
trend,fwd,5,EW,SIDEWAYS,4,5540,0.0083,0.0189
trend,fwd,5,EW,SIDEWAYS,5,5595,0.228,0.211
trend,fwd,5,EW,SIDEWAYS,6,5713,0.2391,0.2296
trend,fwd,5,EW,SIDEWAYS,7,5574,0.123,0.1489
trend,fwd,5,EW,SIDEWAYS,8,5620,0.1714,0.1878
trend,fwd,5,EW,SIDEWAYS,9,5687,0.3019,0.2097
trend,fwd,5,EW,SIDEWAYS,10,5433,0.2081,0.229
trend,fwd,5,VW,SIDEWAYS,1,5762,-0.2459,0.0078
trend,fwd,5,VW,SIDEWAYS,2,5653,0.1605,-0.0744
trend,fwd,5,VW,SIDEWAYS,3,5654,-0.074,0.1026
trend,fwd,5,VW,SIDEWAYS,4,5540,0.0017,0.0189
trend,fwd,5,VW,SIDEWAYS,5,5595,0.1934,0.211
trend,fwd,5,VW,SIDEWAYS,6,5713,0.1875,0.2296
trend,fwd,5,VW,SIDEWAYS,7,5574,0.065,0.1489
trend,fwd,5,VW,SIDEWAYS,8,5620,0.0497,0.1878
trend,fwd,5,VW,SIDEWAYS,9,5687,0.1073,0.2097
trend,fwd,5,VW,SIDEWAYS,10,5433,0.2465,0.229
trend,fwd,10,EW,SIDEWAYS,1,5694,0.2904,0.1768
trend,fwd,10,EW,SIDEWAYS,2,5585,0.1658,0.1798
trend,fwd,10,EW,SIDEWAYS,3,5586,0.2986,0.248
trend,fwd,10,EW,SIDEWAYS,4,5476,0.2156,0.2008
trend,fwd,10,EW,SIDEWAYS,5,5527,0.4444,0.1675
trend,fwd,10,EW,SIDEWAYS,6,5645,0.6048,0.398
trend,fwd,10,EW,SIDEWAYS,7,5510,0.2384,-0.0076
trend,fwd,10,EW,SIDEWAYS,8,5552,0.3893,0.4163
trend,fwd,10,EW,SIDEWAYS,9,5619,0.5313,0.3207
